9 12083 38680
0 0 0.277615 -0.0572545
1 0 0.169406 0.00519975
0 1 0.00863819 0.0853494
1 1 -0.108846 0.14364
0 2 0.4322 -0.17904
1 2 0.309563 -0.108259
0 3 0.000393712 0.0738994
1 3 -0.11606 0.13219
0 4 0.445597 -0.041641
1 4 0.328113 0.023936
0 5 -0.144916 0.0666131
1 5 -0.24385 0.122822
0 6 0.435291 -0.128036
1 6 0.306471 -0.0582954
0 7 0.386855 0.0843085
1 7 0.26834 0.146763
0 8 0.375519 -0.146772
1 8 0.258034 -0.0791135
0 9 0.426016 -0.0135365
1 9 0.308532 0.0509995
0 10 -0.201597 0.0832676
1 10 -0.302592 0.137395
0 11 0.354907 0.0666131
1 11 0.236393 0.129067
0 12 0.436322 -0.121791
1 12 0.310593 -0.0530909
0 13 0.464147 -0.364321
1 13 0.331204 -0.284172
0 14 0.502278 -0.238372
1 14 0.355938 -0.161345
0 15 -0.0738068 0.045795
1 15 -0.172741 0.102004
0 16 0.287921 0.0249769
1 16 0.17662 0.0853494
0 17 0.308532 -0.107218
1 17 0.19517 -0.041641
0 18 0.307501 -0.142609
1 18 0.191048 -0.0759908
0 19 0.398191 -0.0260274
1 19 0.274523 0.0395496
0 20 0.398191 -0.108259
1 20 0.274523 -0.0406001
0 21 0.0632581 0.0437132
1 21 -0.0635012 0.105127
0 22 0.00348543 0.0936766
1 22 -0.113999 0.151967
0 23 0.467239 -0.171754
1 23 0.353877 -0.103054
0 24 0.499186 -0.125954
1 24 0.371396 -0.0562136
0 25 0.292043 -0.119709
1 25 0.181773 -0.0541318
0 26 -0.430382 -0.0426819
1 26 -0.550957 0.0197724
0 27 0.32296 -0.119709
1 27 0.209598 -0.0530909
0 28 0.128183 0.0853494
1 28 -0.00166739 0.145722
0 29 0.261126 0.013527
1 29 0.154978 0.0749403
0 30 0.420863 -0.0582954
1 30 0.300287 0.00832244
0 31 -0.252094 -0.223799
1 31 -0.349998 -0.15614
0 32 0.0900527 0.145722
1 32 -0.0315537 0.204012
0 33 -0.327325 -4.7878e-06
1 33 -0.442748 0.0593268
0 34 0.427047 -0.105136
1 34 0.301318 -0.0364364
0 35 0.325021 -0.271681
1 35 0.194139 -0.195695
0 36 -0.405648 0.135313
1 36 -0.516949 0.186317
0 37 0.465177 -0.285213
1 37 0.316776 -0.205063
0 38 -0.195413 0.0905539
1 38 -0.297439 0.144681
0 39 0.407466 -0.0385182
1 39 0.284829 0.0270587
0 40 0.447658 -0.019782
1 40 0.331204 0.0447541
0 41 0.427047 -0.115545
1 41 0.298226 -0.0468455
0 42 -0.261369 -0.147813
1 42 -0.359273 -0.0843181
0 43 0.471361 -0.265435
1 43 0.326052 -0.187368
0 44 0.37758 -0.271681
1 44 0.238454 -0.194654
0 45 0.326052 -0.253985
1 45 0.196201 -0.17904
0 46 0.458994 -0.313317
1 46 0.318838 -0.234208
0 47 -0.0882347 -0.0676636
1 47 -0.195413 -0.0062502
0 48 0.291012 0.0333042
1 48 0.179712 0.0936766
0 49 0.110664 0.0863903
1 49 -0.0212481 0.146763
0 50 -0.128427 0.0551632
1 50 -0.22633 0.111372
0 51 0.343571 -0.250863
1 51 0.210629 -0.175918
0 52 0.300287 -0.111382
1 52 0.185895 -0.0458046
0 53 0.438383 -0.062459
1 53 0.314715 0.00415884
0 54 0.292043 -0.0541318
1 54 0.184864 0.00832244
0 55 0.405405 -0.0791135
1 55 0.279676 -0.0114547
0 56 0.446627 -0.0759908
1 56 0.320899 -0.00833201
0 57 0.382733 -0.0655818
1 57 0.259065 0.00103612
0 58 0.473422 -0.182163
1 58 0.357999 -0.113463
0 59 0.463116 0.0593268
1 59 0.340479 0.123863
0 60 -0.431412 0.15509
1 60 -0.542713 0.205053
0 61 -0.130488 -0.030191
1 61 -0.223238 0.0260178
0 62 0.460025 -0.0811953
1 62 0.335327 -0.0135365
0 63 -0.418015 0.0926357
1 63 -0.533438 0.146763
0 64 0.485789 -0.108259
1 64 0.364182 -0.0395592
0 65 0.30441 -0.348708
1 65 0.190017 -0.272722
0 66 0.460025 -0.0478864
1 66 0.34151 0.0187315
0 67 -0.144916 0.0843085
1 67 -0.24385 0.140517
0 68 0.422924 -0.0759908
1 68 0.299257 -0.00937292
0 69 -0.0841124 -0.227963
1 69 -0.184077 -0.161345
0 70 -0.120182 0.0374678
1 70 -0.218086 0.0936766
0 71 -0.115029 0.0655722
1 71 -0.212933 0.119699
0 72 0.342541 -0.148854
1 72 0.234331 -0.0822362
0 73 0.0993278 0.0197724
1 73 -0.0212481 0.0811858
0 74 0.315746 -0.0447637
1 74 0.208567 0.0176906
0 75 0.355938 0.0791039
1 75 0.240515 0.140517
0 76 0.311624 -0.264395
1 76 0.184864 -0.189449
0 77 -0.321142 0.0374678
1 77 -0.40874 0.089513
0 78 0.45075 -0.364321
1 78 0.315746 -0.284172
0 79 -0.255186 -0.217554
1 79 -0.35412 -0.149895
0 80 0.437352 -0.0988907
1 80 0.311624 -0.0312319
0 81 -0.191291 -0.0822362
1 81 -0.301561 -0.019782
0 82 0.143642 0.126986
1 82 0.0158522 0.186317
0 83 0.444566 -0.0947271
1 83 0.319868 -0.0260274
0 84 0.461055 -0.37473
1 84 0.330174 -0.294581
0 85 -0.126366 -0.0614181
1 85 -0.234575 -0.00104569
0 86 0.278646 0.0530813
1 86 0.169406 0.111372
0 87 0.500217 -0.0145775
1 87 0.388916 0.0499586
0 88 0.134367 0.108249
1 88 0.00245482 0.168622
0 89 0.4693 0.0686949
1 89 0.350785 0.13219
0 90 0.457964 -0.0905635
1 90 0.333266 -0.0218638
0 91 0.291012 0.0520404
1 91 0.180742 0.112413
0 92 -0.412862 0.0926357
1 92 -0.529316 0.146763
0 93 0.0766554 0.0322633
1 93 -0.0552567 0.0947175
0 94 -0.0727762 -0.0759908
1 94 -0.178924 -0.0145775
0 95 0.37861 -0.24774
1 95 0.240515 -0.171754
0 96 0.178681 0.0863903
1 96 0.0529524 0.146763
0 97 0.368305 -0.136363
1 97 0.253912 -0.0687045
0 98 0.479605 -0.223799
1 98 0.337388 -0.147813
0 99 0.298226 -0.0614181
1 99 0.186926 0.00207703
0 100 0.366243 -0.275844
1 100 0.226087 -0.198818
0 101 -0.0902958 -0.239413
1 101 -0.188199 -0.171754
0 102 0.380671 -0.0541318
1 102 0.259065 0.0114452
0 103 -0.107815 -0.0572545
1 103 -0.214994 0.00311793
