15 13592 39701
0 0 0.351816 0.250853
1 0 0.357999 0.204012
0 1 0.201353 0.136354
1 1 0.209598 0.089513
0 2 0.143642 0.134272
1 2 0.151886 0.0853494
0 3 0.28586 -0.0572545
1 3 0.300287 -0.0863998
0 4 0.162192 0.111372
1 4 0.171467 0.0655722
0 5 0.209598 0.14364
1 5 0.217842 0.0978402
0 6 -0.0604095 0.0114452
1 6 -0.0408288 -0.0229047
0 7 0.192078 0.176949
1 7 0.200323 0.134272
0 8 0.226087 0.141558
1 8 0.234331 0.100963
0 9 0.303379 -0.0249865
1 9 0.316776 -0.0582954
0 10 0.00245482 0.0114452
1 10 0.0179133 -0.0281092
0 11 -0.0964792 0.00728156
1 11 -0.0768985 -0.0343546
0 12 0.0611969 0.284162
1 12 0.0715026 0.242526
0 13 0.0663497 0.298735
1 13 0.0766554 0.25814
0 14 0.219904 0.190481
1 14 0.23124 0.151967
0 15 -0.0325843 -0.00833201
1 15 -0.0130036 -0.0437228
0 16 -0.00063684 0.148845
1 16 0.00863819 0.0988811
0 17 -0.0212481 0.237321
1 17 -0.00785077 0.196726
0 18 0.258034 0.13219
1 18 0.266279 0.0863903
0 19 -0.00991193 0.0104042
1 19 0.00657709 -0.0281092
0 20 -0.0954486 -0.0156184
1 20 -0.0768985 -0.0582954
0 21 0.257004 0.128026
1 21 0.265248 0.0822267
0 22 0.0457385 0.0218542
1 22 0.0601664 -0.0177002
0 23 0.0230661 -0.00937292
1 23 0.0416162 -0.0426819
0 24 0.168375 0.0874312
1 24 0.177651 0.045795
0 25 0.181773 0.213381
1 25 0.191048 0.171744
0 26 0.168375 0.176949
1 26 0.17662 0.13219
0 27 0.254943 0.0801449
1 27 0.26731 0.0437132
0 28 -0.223238 -0.0468455
1 28 -0.197474 -0.0895226
0 29 0.178681 0.10929
1 29 0.186926 0.0614086
0 30 -0.0748374 -0.0072911
1 30 -0.0552567 -0.0437228
0 31 -0.0264009 0.137395
1 31 -0.0140341 0.0884721
0 32 -0.0562872 0.10929
1 32 -0.0418594 0.0614086
0 33 -0.220147 -0.0530909
1 33 -0.193352 -0.0926453
0 34 0.214751 0.13219
1 34 0.222995 0.0874312
0 35 0.207537 0.100963
1 35 0.217842 0.057245
0 36 0.194139 0.0791039
1 36 0.205476 0.0395496
0 37 0.281737 -0.0489273
1 37 0.296165 -0.0801544
0 38 -0.222208 -0.0406001
1 38 -0.195413 -0.0801544
0 39 -0.0768985 -0.0187411
1 39 -0.0583484 -0.0582954
0 40 -0.00888132 0.116577
1 40 0.00245482 0.067654
0 41 0.242576 0.013527
1 41 0.259065 -0.0135365
0 42 0.0508913 0.245649
1 42 0.0611969 0.201931
0 43 0.168375 0.252935
1 43 0.177651 0.21234
0 44 0.0550135 0.205053
1 44 0.0622275 0.15509
0 45 -0.0542261 0.0947175
1 45 -0.0459816 0.0280996
0 46 0.157039 0.0697358
1 46 0.169406 0.0312224
0 47 -0.0789596 0.115536
1 47 -0.0696845 0.0478768
0 48 0.179712 0.198808
1 48 0.188987 0.157172
0 49 0.287921 -0.030191
1 49 0.300287 -0.0635
0 50 -0.0130036 0.24773
1 50 -0.00063684 0.205053
0 51 0.0199744 -0.212349
1 51 0.0323411 -0.266476
0 52 0.00142426 0.00103612
1 52 0.0199744 -0.0333137
0 53 0.161162 0.103045
1 53 0.169406 0.0551632
0 54 0.241545 0.118658
1 54 0.24979 0.0738994
0 55 0.00245482 0.0936766
1 55 0.0158522 0.0478768
0 56 0.116847 -0.171754
1 56 0.132306 -0.205063
0 57 0.296165 -0.0208229
1 57 0.309563 -0.0541318
0 58 -0.0696845 0.00832244
1 58 -0.0490733 -0.0260274
0 59 0.0220356 -0.00104569
1 59 0.0405857 -0.0343546
0 60 0.0766554 -0.0759908
1 60 0.0900527 -0.117627
0 61 0.132306 0.089513
1 61 0.141581 0.0416314
0 62 0.246698 0.0582859
1 62 0.259065 0.023936
0 63 0.196201 0.144681
1 63 0.204445 0.0999221
0 64 0.145703 0.0749403
1 64 0.15807 0.035386
0 65 0.0508913 0.237321
1 65 0.0611969 0.193603
0 66 0.157039 0.180072
1 66 0.165284 0.134272
0 67 0.226087 0.111372
1 67 0.235362 0.067654
0 68 0.280707 -0.0562136
1 68 0.296165 -0.0863998
0 69 0.261126 0.130108
1 69 0.269371 0.0843085
0 70 0.070472 0.0447541
1 70 0.0818082 0.00103612
0 71 0.0673803 0.252935
1 71 0.0776859 0.209217
0 72 0.197231 0.129067
1 72 0.205476 0.0822267
0 73 0.201353 0.158213
1 73 0.209598 0.115536
0 74 0.187956 0.193603
1 74 0.197231 0.149885
0 75 0.143642 0.180072
1 75 0.150856 0.131149
0 76 0.190017 0.21234
1 76 0.199292 0.170704
0 77 0.101389 0.0697358
1 77 0.109633 0.0187315
0 78 0.0653192 -0.0177002
1 78 0.0776859 -0.0635
0 79 0.0158522 0.231076
1 79 0.0271884 0.188399
0 80 0.205476 0.115536
1 80 0.214751 0.0728585
0 81 -0.0635012 0.00519975
