15 1859 8759
1 98 0.00885445 -0.136258
0 99 0.0752937 -0.0965592
1 99 0.0911452 -0.1325
0 100 0.298499 -0.0959025
1 100 0.313166 -0.124643
0 101 -0.00201702 -0.0905623
1 101 0.015585 -0.129109
0 102 0.0686783 -0.0885593
1 102 0.0819736 -0.132308
0 103 0.000862043 -0.0877343
1 103 0.0183331 -0.126401
0 104 -0.0495502 -0.0857165
1 104 -0.0312189 -0.128667
0 105 0.00861357 -0.0830227
1 105 0.0260346 -0.120823
0 106 -0.0148597 -0.0806637
1 106 0.00264359 -0.121349
0 107 -0.0060252 -0.0795565
1 107 0.0110952 -0.11954
0 108 0.0843586 -0.0774912
1 108 0.0995907 -0.114727
0 109 0.0158056 -0.0758991
1 109 0.0336062 -0.113295
0 110 0.0204111 -0.0723319
1 110 0.0376211 -0.109879
0 111 -0.173383 -0.0706664
1 111 -0.148787 -0.109305
0 112 0.0237215 -0.0699658
1 112 0.0401428 -0.107884
0 113 -0.160389 -0.0698059
1 113 -0.136737 -0.108638
0 114 -0.152694 -0.0697468
1 114 -0.129591 -0.108404
0 115 -0.184865 -0.0682968
1 115 -0.159529 -0.107587
0 116 -0.191806 -0.0660872
1 116 -0.16602 -0.105587
0 117 0.00324691 -0.0659248
1 117 0.0201111 -0.106177
0 118 0.030513 -0.0659811
1 118 0.0473815 -0.103165
0 119 -0.129789 -0.0653669
1 119 -0.10728 -0.103658
0 120 -0.107351 -0.0599319
1 120 -0.0860177 -0.0977395
0 121 0.256441 -0.0606258
1 121 0.271705 -0.0895862
0 122 0.0379971 -0.0594393
1 122 0.0535457 -0.0973212
0 123 0.285828 -0.0579838
1 123 0.300337 -0.0866827
0 124 0.0214569 -0.0569098
1 124 0.0380295 -0.0954939
0 125 0.284293 -0.0577231
1 125 0.299049 -0.0863836
0 126 0.0156868 -0.0554713
1 126 0.0317399 -0.0953486
0 127 0.0422953 -0.056334
1 127 0.057747 -0.0940609
0 128 0.0339334 -0.0543981
1 128 0.0498394 -0.0926758
0 129 0.236271 -0.0542399
1 129 0.253226 -0.0806292
0 130 -0.0938007 -0.0535266
1 130 -0.073401 -0.0913789
0 131 0.0248589 -0.0523475
1 131 0.0410967 -0.091863
0 132 -0.221263 -0.0514419
1 132 -0.194835 -0.0924264
0 133 -0.084386 -0.0508751
1 133 -0.063743 -0.0883982
0 134 0.0493334 -0.0511723
1 134 0.06548 -0.0884364
0 135 -0.109498 -0.0479111
1 135 -0.0879436 -0.0872698
0 136 0.293552 -0.0477016
1 136 0.307503 -0.0776884
0 137 -0.0759899 -0.0456104
1 137 -0.0549449 -0.0826767
0 138 0.0305674 -0.0433141
1 138 0.046943 -0.0822796
0 139 0.218488 -0.0430193
1 139 0.23542 -0.0692268
0 140 0.273701 -0.0433913
1 140 0.288645 -0.0716905
0 141 -0.0663579 -0.0420829
1 141 -0.0464165 -0.0794194
0 142 0.0186925 -0.0424986
1 142 0.0346643 -0.0837498
0 143 0.0380089 -0.0377788
1 143 0.0536468 -0.0771694
0 144 -0.0924866 -0.0365344
1 144 -0.072306 -0.07652
0 145 0.148733 -0.0368446
1 145 0.158645 -0.0834185
0 146 -0.109095 -0.034705
1 146 -0.0882751 -0.0739361
0 147 0.023495 -0.0331462
1 147 0.038239 -0.0740127
0 148 0.0279445 -0.0329865
1 148 0.0435868 -0.0738397
0 149 0.0454598 -0.0332981
1 149 0.0606764 -0.0726683
0 150 0.302982 -0.0283358
1 150 0.315961 -0.0600297
0 151 -0.0779349 -0.0281397
1 151 -0.0587945 -0.0680213
0 152 0.131382 -0.0278408
1 152 0.141399 -0.0726551
0 153 0.00561014 -0.0215785
1 153 0.0253914 -0.0500941
0 154 0.297374 -0.0221711
1 154 0.309853 -0.054844
0 155 -0.0902409 -0.0210155
1 155 -0.0712208 -0.0627181
0 156 -0.0954377 -0.0158819
1 156 -0.0765699 -0.0589421
0 157 -0.0734438 -0.0162626
1 157 -0.0530451 -0.0528122
0 158 -0.0592663 -0.0161987
1 158 -0.0408161 -0.0557855
0 159 0.0862559 -0.0140473
1 159 0.0977763 -0.0610404
0 160 0.00859579 -0.0125164
1 160 0.0281093 -0.0428058
0 161 0.0383397 -0.0126183
1 161 0.0530981 -0.0535388
0 162 0.0970411 -0.0117665
1 162 0.107967 -0.0594189
0 163 -0.0881913 -0.0106544
1 163 -0.0705414 -0.0548482
0 164 -0.0666501 -0.0072486
1 164 -0.046408 -0.0411813
0 165 0.0471616 -0.00737997
1 165 0.0620552 -0.0483707
0 166 0.0285265 -0.00647214
1 166 0.046908 -0.0377391
0 167 -0.00511608 -0.00635439
1 167 0.0145927 -0.0386108
0 168 0.301813 -0.0051986
1 168 0.313619 -0.0389333
0 169 -0.0420068 -0.00417295
1 169 -0.0248183 -0.044093
0 170 -0.0606218 -0.00294574
1 170 -0.0402097 -0.0357638
0 171 -0.0530291 -0.0025502
1 171 -0.0353139 -0.0417318
0 172 0.0567549 -0.00238332
1 172 0.0707386 -0.0434646
0 173 -0.0880784 -0.00150074
1 173 -0.0698628 -0.0451226
0 174 0.283841 -0.000751273
1 174 0.296344 -0.0363242
0 175 0.0986426 0.000773506
1 175 0.108719 -0.0484087
0 176 -0.0777353 0.0030194
1 176 -0.0574671 -0.0330113
0 177 0.294897 0.00389669
1 177 0.307321 -0.0312043
0 178 -0.0689886 0.00737751
1 178 -0.0489264 -0.0269509
0 179 0.237085 0.00925268
1 179 0.25188 -0.019714
0 180 -0.0599647 0.010353
1 180 -0.0392282 -0.023521
0 181 0.00331027 0.0109364
1 181 0.020285 -0.0265977
0 182 0.0663542 0.0114851
1 182 0.0799185 -0.0287206
0 183 -0.0259454 0.0121763
1 183 -0.00724844 -0.0249454
0 184 0.136248 0.0137479
1 184 0.1529 -0.0151391
0 185 -0.0664168 0.0152659
1 185 -0.046482 -0.0195517
0 186 -0.0475988 0.0146983
1 186 -0.0278217 -0.0172975
0 187 0.231724 0.0219996
1 187 0.24616 -0.00737655
0 188 0.204099 0.0228176
1 188 0.217615 -0.0100489
0 189 -0.0619851 0.0272556
1 189 -0.0428757 -0.00838356
0 190 0.163501 0.0281298
1 190 0.177448 -0.00492218
0 191 -0.0758072 0.0302419
1 191 -0.0597343 -0.0154857
0 192 0.267828 0.0332369
1 192 0.27962 -0.00260819
0 193 0.10358 0.0379624
1 193 0.111788 -0.015391
0 194 0.0754176 0.0387506
1 194 0.0876189 -0.00479895
0 195 0.1832 0.04028
1 195 0.196652 0.00666184
0 196 0.0264259 0.0414636
1 196 0.0374435 -0.00952885
0 197 0.0578484 0.0451632
1 197 0.0696649 -0.00168911
0 198 0.0684949 0.0456412
1 198 0.0809936 0.000570685
0 199 0.0461383 0.0464199
1 199 0.057398 -0.00240018
0 200 0.160219 0.0465715
1 200 0.173475 0.0125116
0 201 0.0328323 0.0491688
1 201 0.043763 -0.00252679
0 202 0.245009 0.0492948
1 202 0.258449 0.0152816
0 203 0.194884 0.0520652
1 203 0.209482 0.0209485
0 204 0.0160069 0.0532889
1 204 0.0261984 -0.000955182
0 205 0.0527998 0.0554263
1 205 0.0643354 0.00916898
0 206 0.271478 0.0565018
1 206 0.283263 0.0203674
0 207 0.0248486 0.0605581
1 207 0.0363469 0.0106146
0 208 0.264442 0.0633597
1 208 0.275892 0.0273449
0 209 0.140337 0.0656128
1 209 0.152919 0.0276189
0 210 0.129435 0.0683491
1 210 0.140837 0.0274229
0 211 0.194691 0.0703767
1 211 0.20531 0.0313086
0 212 0.255284 0.0710661
1 212 0.26646 0.0346806
0 213 0.0381716 0.0725646
1 213 0.0536118 0.0370891
0 214 0.146165 0.0747106
1 214 0.157735 0.0345895
0 215 0.184588 0.0761241
1 215 0.194792 0.0356338
0 216 0.217132 0.0783629
1 216 0.226841 0.0375857
0 217 0.202653 0.0830566
1 217 0.212622 0.0422493
0 218 0.183556 0.0850641
1 218 0.193868 0.0433646
0 219 0.190308 0.0872687
1 219 0.20019 0.0453864
0 220 0.238793 0.0869911
1 220 0.247968 0.0455679
0 221 0.200537 0.0978406
1 221 0.209673 0.0555018
0 222 -0.0201203 0.0995043
1 222 -0.00638316 0.0528039
0 223 0.143855 0.0999913
1 223 0.152481 0.0524714
0 224 0.193468 0.103327
1 224 0.201558 0.0593845
0 225 0.156522 0.105522
1 225 0.164641 0.0573857
0 226 -0.055937 0.107966
